Date,Difference,Predicted_Price,Lower_Confidence_Interval,Upper_Confidence_Interval,borough
2022-01-31,-7285.749898343791,747578.5701016561,582723.416362408,912433.7238409044,BR7
2022-02-28,-21038.854721022763,733825.4652789772,520168.695560922,962053.73479372,BR7
2022-03-31,-4485.490317971871,750378.829682028,550328.5596111235,992506.8091949782,BR7
2022-04-30,-15709.933114451247,739154.3868855487,522422.3324461961,964857.421960845,BR7
2022-05-31,-1474.2483366109482,753390.071663389,547779.5153813374,990420.4941743432,BR7
2022-06-30,-10574.390301480373,744289.9296985195,524352.765789636,967175.590280625,BR7
2022-07-31,1714.2376122048115,756578.5576122048,545669.2791421921,988636.6166851782,BR7
2022-08-31,-5601.302861273951,749263.017138726,526000.6677881414,969096.8912649008,BR7
2022-09-30,5051.624245873278,759915.9442458733,543918.4524895562,987116.0417247382,BR7
2022-10-31,-764.6923720745799,754099.6276279254,527403.4824893504,970692.524274754,BR7
2022-11-30,8514.100688058104,763378.420688058,542463.0741951215,985823.1519251438,BR7
2022-12-31,3957.265349172407,758821.5853491724,528594.9601439927,972020.0091782358,BR7
2022-01-31,-110373.2382760208,545952.416896393,461552.1873080452,630352.6464847408,DA5
2022-02-28,-109164.22809962972,547161.427072784,550528.8591769121,764540.4715206977,DA5
2022-03-31,-103283.22362958512,553042.4315428287,555201.2440874279,769212.0751974889,DA5
2022-04-30,-112347.20768007202,543978.4474923417,540256.7631878457,754266.579056008,DA5
2022-05-31,-103612.89947042032,552712.7557019935,557945.9373944472,772173.9893696839,DA5
2022-06-30,-109656.1142730846,546669.5408993292,543133.8274978646,757431.0532416344,DA5
2022-07-31,-101145.3373138252,555180.3178585886,557644.9115997811,772027.9526635653,DA5
2022-08-31,-106533.80955931723,549791.8456130966,543709.8268119085,758164.539041935,DA5
2022-09-30,-98243.82714991356,558081.8280225003,557354.9633231027,771876.3118405323,DA5
2022-10-31,-103277.05295961762,553048.6022127962,543997.263996659,758587.5947287604,DA5
2022-11-30,-95278.50063234918,561047.1545400646,556999.4773637571,771648.9376356074,DA5
2022-12-31,-100000.19176980374,556325.46340261,544247.4455398822,758960.4825300364,DA5
2022-01-31,-22579.79153159322,371442.9357411341,332428.01478058525,410457.8567016829,RM3
2022-02-28,-23019.081997637077,371003.64527509024,346469.2806568195,440697.5929565474,RM3
2022-03-31,-22054.303512220587,371968.42376050673,347846.4862753174,442128.5252409702,RM3
2022-04-30,-21000.48415032987,373022.2431223974,347935.5255117998,442217.5677574362,RM3
2022-05-31,-19941.01814432311,374081.7091284042,347941.10136406263,442223.2851934055,RM3
2022-06-30,-18881.19404896417,375141.5332237631,347941.3771494712,442223.7255867013,RM3
2022-07-31,-17821.3472448987,376201.3800278286,347941.31679565663,442223.8313579289,RM3
2022-08-31,-16761.499000730782,377261.2282719965,347941.23512515385,442223.9159086366,RM3
2022-09-30,-15701.650665236875,378321.0766074904,347941.1521029621,442223.9991134803,RM3
2022-10-31,-14641.802323951411,379380.9249487759,347941.0689951884,442224.0822328371,RM3
2022-11-30,-13581.953982298668,380440.7732904286,347940.9858821247,442224.1653466354,RM3
2022-12-31,-12522.105640622633,381500.6216321047,347940.9027688628,442224.2484599439,RM3
2022-01-31,174482.20081459393,537029.1383145939,465144.7098868929,608913.5667422949,HA9
2022-02-28,107401.07072912762,469948.0082291276,197953.35289891387,392978.2619301535,HA9
2022-03-31,155159.9415250901,517706.87902509014,312071.53001475136,508540.0865771736,HA9
2022-04-30,137011.26225644915,499558.19975644915,245372.2833106501,443424.233152068,HA9
2022-05-31,132592.4498988376,495139.3873988376,258299.97081033775,457956.2794744392,HA9
2022-06-30,154713.6251150751,517260.5626150751,284441.60675959475,484894.6186728803,HA9
2022-07-31,138067.35669207253,500614.2941920725,245669.3396349229,446131.998519072,HA9
2022-08-31,141824.13407718705,504371.07157718705,265858.2340894145,466749.1956808145,HA9
2022-09-30,156738.96678477043,519285.9042847704,276683.1584413941,478240.38197377266,HA9
2022-10-31,139817.56219582615,502364.49969582615,244762.96966948855,446488.0961526229,HA9
2022-11-30,150873.49071171836,513420.42821171833,272701.6740346864,474504.0579970979,HA9
2022-12-31,157159.5028051275,519706.44030512753,267709.09840010665,469956.8007867116,HA9
2022-01-31,-23872.350361361867,607437.1496386381,521694.5312453065,693179.7680319698,KT5
2022-02-28,-24393.02015449165,606916.4798455084,520443.9206328252,741133.7397809152,KT5
2022-03-31,-15952.17984006866,615357.3201599313,529306.1708167761,750194.5098120698,KT5
2022-04-30,-29220.6387014554,602088.8612985446,507596.8781353532,728485.2041418733,KT5
