Date,Predicted_Price,rmse,mae,borough
2022-03-31,343188.3,22825.541030212855,14316.499230029096,RM9
2022-04-30,338067.9,22825.541030212855,14316.499230029096,RM9
2022-05-31,341204.72,22825.541030212855,14316.499230029096,RM9
2022-06-30,336781.3,22825.541030212855,14316.499230029096,RM9
2022-07-31,341204.72,22825.541030212855,14316.499230029096,RM9
2022-08-31,341204.72,22825.541030212855,14316.499230029096,RM9
2022-09-30,341204.72,22825.541030212855,14316.499230029096,RM9
2022-10-31,341204.72,22825.541030212855,14316.499230029096,RM9
2022-11-30,341332.3,22825.541030212855,14316.499230029096,RM9
2022-12-31,341332.3,22825.541030212855,14316.499230029096,RM9
2022-01-31,1311755.5,393350.6957479662,157070.71439724113,NW8
2022-02-28,1441792.2,393350.6957479662,157070.71439724113,NW8
2022-03-31,1311755.5,393350.6957479662,157070.71439724113,NW8
2022-04-30,1439616.9,393350.6957479662,157070.71439724113,NW8
2022-05-31,1242881.6,393350.6957479662,157070.71439724113,NW8
2022-06-30,1315350.6,393350.6957479662,157070.71439724113,NW8
2022-07-31,1587125.8,393350.6957479662,157070.71439724113,NW8
2022-08-31,1311755.5,393350.6957479662,157070.71439724113,NW8
2022-09-30,1339401.2,393350.6957479662,157070.71439724113,NW8
2022-10-31,1451979.4,393350.6957479662,157070.71439724113,NW8
2022-11-30,1311755.5,393350.6957479662,157070.71439724113,NW8
2022-12-31,1445517.6,393350.6957479662,157070.71439724113,NW8
2022-01-31,817296.25,170677.45378824006,68743.42203450383,N20
2022-02-28,817296.25,170677.45378824006,68743.42203450383,N20
2022-03-31,812927.44,170677.45378824006,68743.42203450383,N20
2022-04-30,817296.25,170677.45378824006,68743.42203450383,N20
2022-05-31,817296.25,170677.45378824006,68743.42203450383,N20
2022-06-30,817296.25,170677.45378824006,68743.42203450383,N20
2022-07-31,817296.25,170677.45378824006,68743.42203450383,N20
2022-08-31,817296.25,170677.45378824006,68743.42203450383,N20
2022-09-30,812927.44,170677.45378824006,68743.42203450383,N20
2022-10-31,817296.25,170677.45378824006,68743.42203450383,N20
2022-11-30,812927.44,170677.45378824006,68743.42203450383,N20
2022-12-31,812927.44,170677.45378824006,68743.42203450383,N20
2022-01-31,467957.66,43552.85687911469,26733.27916131977,KT4
2022-02-28,473752.38,43552.85687911469,26733.27916131977,KT4
2022-03-31,464219.5,43552.85687911469,26733.27916131977,KT4
2022-04-30,462296.62,43552.85687911469,26733.27916131977,KT4
2022-05-31,461301.94,43552.85687911469,26733.27916131977,KT4
2022-06-30,462799.8,43552.85687911469,26733.27916131977,KT4
2022-07-31,465614.28,43552.85687911469,26733.27916131977,KT4
2022-08-31,465912.9,43552.85687911469,26733.27916131977,KT4
2022-09-30,463916.7,43552.85687911469,26733.27916131977,KT4
2022-10-31,462296.62,43552.85687911469,26733.27916131977,KT4
2022-11-30,471725.6,43552.85687911469,26733.27916131977,KT4
2022-12-31,469597.5,43552.85687911469,26733.27916131977,KT4
2022-01-31,350068.94,26656.281971847333,17749.053210502065,DA1
2022-02-28,350068.94,26656.281971847333,17749.053210502065,DA1
2022-03-31,349972.78,26656.281971847333,17749.053210502065,DA1
2022-04-30,349742.72,26656.281971847333,17749.053210502065,DA1
2022-05-31,353789.34,26656.281971847333,17749.053210502065,DA1
2022-06-30,343830.06,26656.281971847333,17749.053210502065,DA1
2022-07-31,343951.9,26656.281971847333,17749.053210502065,DA1
2022-08-31,343951.9,26656.281971847333,17749.053210502065,DA1
2022-09-30,343712.9,26656.281971847333,17749.053210502065,DA1
2022-10-31,352176.3,26656.281971847333,17749.053210502065,DA1
2022-11-30,352176.3,26656.281971847333,17749.053210502065,DA1
2022-12-31,347643.97,26656.281971847333,17749.053210502065,DA1
2022-01-31,630838.7,106555.62852503292,53756.30375632176,E8
2022-02-28,611029.94,106555.62852503292,53756.30375632176,E8
2022-03-31,611748.0,106555.62852503292,53756.30375632176,E8
2022-04-30,618624.3,106555.62852503292,53756.30375632176,E8
2022-05-31,603812.56,106555.62852503292,53756.30375632176,E8
2022-06-30,599014.56,106555.62852503292,53756.30375632176,E8
2022-07-31,602341.56,106555.62852503292,53756.30375632176,E8
2022-08-31,602341.56,106555.62852503292,53756.30375632176,E8
2022-09-30,600958.8,106555.62852503292,53756.30375632176,E8
2022-10-31,601308.56,106555.62852503292,53756.30375632176,E8
2022-11-30,601069.3,106555.62852503292,53756.30375632176,E8
2022-12-31,603205.7,106555.62852503292,53756.30375632176,E8
2022-01-31,623185.44,70926.95706698201,40257.23047811501,KT1
2022-02-28,623185.44,70926.95706698201,40257.23047811501,KT1
2022-03-31,623185.44,70926.95706698201,40257.23047811501,KT1
2022-04-30,623185.44,70926.95706698201,40257.23047811501,KT1
2022-05-31,623185.44,70926.95706698201,40257.23047811501,KT1
2022-06-30,623185.44,70926.95706698201,40257.23047811501,KT1
2022-07-31,623185.44,70926.95706698201,40257.23047811501,KT1
2022-08-31,623185.44,70926.95706698201,40257.23047811501,KT1
2022-09-30,623185.44,70926.95706698201,40257.23047811501,KT1
2022-10-31,623185.44,70926.95706698201,40257.23047811501,KT1
2022-11-30,623185.44,70926.95706698201,40257.23047811501,KT1
2022-12-31,623185.44,70926.95706698201,40257.23047811501,KT1
2022-01-31,755581.7,112982.2726485114,56979.03984608907,W5
2022-02-28,755464.2,112982.2726485114,56979.03984608907,W5
2022-03-31,758143.3,112982.2726485114,56979.03984608907,W5
2022-04-30,756756.8,112982.2726485114,56979.03984608907,W5
2022-05-31,755581.7,112982.2726485114,56979.03984608907,W5
2022-06-30,746654.0,112982.2726485114,56979.03984608907,W5
2022-07-31,755464.2,112982.2726485114,56979.03984608907,W5
2022-08-31,746654.0,112982.2726485114,56979.03984608907,W5
2022-09-30,746654.0,112982.2726485114,56979.03984608907,W5
2022-10-31,756756.8,112982.2726485114,56979.03984608907,W5
2022-11-30,741195.2,112982.2726485114,56979.03984608907,W5
2022-12-31,756756.8,112982.2726485114,56979.03984608907,W5
2022-01-31,356314.66,33194.24495178468,20077.7278712771,UB5
2022-02-28,356314.66,33194.24495178468,20077.7278712771,UB5
2022-03-31,356314.66,33194.24495178468,20077.7278712771,UB5
2022-04-30,356314.66,33194.24495178468,20077.7278712771,UB5
2022-05-31,356314.66,33194.24495178468,20077.7278712771,UB5
2022-06-30,356314.66,33194.24495178468,20077.7278712771,UB5
2022-07-31,356314.66,33194.24495178468,20077.7278712771,UB5
2022-08-31,356314.66,33194.24495178468,20077.7278712771,UB5
2022-09-30,356314.66,33194.24495178468,20077.7278712771,UB5
2022-10-31,356314.66,33194.24495178468,20077.7278712771,UB5
2022-11-30,356314.66,33194.24495178468,20077.7278712771,UB5
2022-12-31,356314.66,33194.24495178468,20077.7278712771,UB5
2022-01-31,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-02-28,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-03-31,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-04-30,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-05-31,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-06-30,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-07-31,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-08-31,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-09-30,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-10-31,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-11-30,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-12-31,445288.44,44376.48384068855,26752.384549295915,IG1IG4
2022-01-31,823958.5,276458.24038662977,97800.857957203,W10
2022-02-28,823958.5,276458.24038662977,97800.857957203,W10
2022-03-31,823958.5,276458.24038662977,97800.857957203,W10
